first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Gabriel,Fernando de Jesus,3,2,42,600,5,119.5,154.4,255.0,6,152,52.6,2,0,4,1.1,65,FWD
Gabriel,dos Santos Magalhães,3,2,117,2363,22,208.8,584.6,287.0,9,459,108.2,10,0,4,12.7,62,DEF
Kai,Havertz,9,3,96,1839,20,257.0,467.2,701.0,14,340,142.6,7,0,4,5.8,77,FWD
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jurriën,Timber,1,3,114,2415,21,296.8,393.0,254.0,9,426,94.2,11,0,7,6.8,57,DEF
Jorge Luiz,Frello Filho,0,0,19,700,7,88.8,44.6,8.0,0,109,14.2,2,0,5,0.2,46,MID
Jakub,Kiwior,1,0,32,757,10,55.2,176.2,30.0,0,125,26.2,2,0,0,2.2,48,DEF
Gabriel,Martinelli Silva,7,4,111,1949,20,498.0,485.8,777.0,6,363,176.2,9,0,1,2.7,65,MID
Ethan,Nwaneri,4,2,63,804,3,231.7,278.2,228.0,4,232,73.8,4,0,1,1.8,44,MID
Martin,Ødegaard,2,6,90,2036,17,860.9,430.6,445.0,7,426,173.8,10,0,4,5.1,82,MID
David,Raya Martin,0,0,130,3060,29,0.7,685.4,0.0,9,512,68.7,12,0,2,31.7,56,GK
Declan,Rice,2,7,105,2570,27,900.1,616.8,333.0,12,547,184.6,10,1,5,3.5,62,MID
Bukayo,Saka,6,11,119,1450,17,725.2,566.4,715.0,18,478,200.6,6,0,3,19.7,104,MID
William,Saliba,2,0,127,2814,25,146.9,635.8,116.0,14,538,90.2,12,1,2,32.1,66,DEF
Thomas,Partey,4,3,99,2433,25,326.4,558.8,170.0,8,513,105.9,8,0,4,0.7,49,MID
Kieran,Tierney,0,0,15,174,0,90.5,40.4,13.0,0,63,14.5,1,0,0,0.1,43,DEF
Tomiyasu,Takehiro,0,0,1,6,0,0.3,0.4,9.0,0,2,1.0,0,0,0,0.0,48,DEF
Leandro,Trossard,8,6,136,2265,23,543.4,543.4,723.0,16,500,180.6,10,1,2,4.7,68,MID
Benjamin,White,0,1,37,853,8,108.4,165.8,64.0,0,150,33.8,4,0,2,2.2,61,DEF
Oleksandr,Zinchenko,0,1,36,443,0,63.3,55.0,53.0,2,122,17.0,4,0,1,0.9,48,DEF
Norberto,Murara Neto,0,0,7,180,2,0.0,77.8,0.0,0,30,7.8,0,0,0,0.7,41,GK
Raheem,Sterling,0,2,23,424,3,117.6,63.6,112.0,0,51,29.1,1,0,1,0.8,67,MID
Riccardo,Calafiori,2,1,37,921,12,116.2,249.6,174.0,1,133,53.9,1,0,4,1.2,58,DEF
Myles,Lewis-Skelly,1,0,30,1072,12,129.2,141.2,48.0,0,181,31.5,4,2,2,0.4,45,MID
Mikel,Merino,6,2,85,1391,13,241.1,411.4,449.0,8,301,110.1,4,0,2,2.8,61,MID
Salah-Eddine,Oulad M'hand,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Nathan,Butler-Oyedeji,0,0,1,6,0,0.0,3.0,17.0,0,5,2.0,0,0,0,0.2,45,FWD
Mikel,Arteta,0,0,81,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.4,15,AM
Jack,Porter,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jimi,Gower,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jack,Henry-Francis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Leon,Bailey,1,2,46,1131,19,234.8,144.4,323.0,2,169,69.8,2,0,3,0.7,62,MID
Ross,Barkley,3,1,42,559,9,126.1,210.0,202.0,5,158,53.7,1,0,3,0.2,52,MID
Enzo,Barrenechea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Emiliano,Buendía Stati,0,0,11,89,2,23.2,16.4,16.0,0,37,5.2,0,0,1,0.1,51,MID
Matty,Cash,1,1,63,1799,20,156.7,293.8,128.0,1,227,57.9,5,0,6,1.1,44,DEF
Leander,Dendoncker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
Moussa,Diaby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,MID
Diego Carlos,Santos Silva,0,0,21,828,15,9.2,150.6,54.0,1,69,21.5,2,0,1,0.3,45,DEF
Lucas,Digne,0,5,82,2258,36,568.2,488.8,112.0,6,356,116.8,5,0,4,6.0,45,DEF
Lewis,Dobbin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Jhon,Durán,7,0,53,622,14,68.9,273.8,334.0,9,222,67.5,2,1,3,1.6,57,FWD
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,39,DEF
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Boubacar,Kamara,0,0,42,1457,21,165.1,264.6,42.0,1,243,47.3,4,0,2,0.0,50,MID
Kaine,Kesler-Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Ezri,Konsa Ngoyo,1,0,82,2666,43,108.4,434.8,116.0,7,381,66.0,6,0,0,8.1,44,DEF
Ian,Maatsen,1,2,49,944,14,271.4,234.6,177.0,0,185,68.4,2,0,2,1.5,45,DEF
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Emiliano,Martínez Romero,0,0,97,2970,45,20.0,733.8,0.0,2,409,75.5,6,0,4,12.6,50,GK
John,McGinn,1,4,71,2047,34,428.2,245.2,241.0,1,338,91.2,6,0,7,0.7,52,MID
Tyrone,Mings,0,1,41,1050,11,48.5,214.6,70.0,5,185,33.5,3,0,1,0.2,44,DEF
Kosta,Nedeljković,0,0,5,121,4,7.2,22.8,0.0,0,11,3.0,0,0,0,0.5,39,DEF
Robin,Olsen,0,0,8,180,4,0.0,37.0,0.0,0,21,3.7,1,0,0,0.1,45,GK
Pau,Torres,0,0,47,1819,31,66.9,302.0,98.0,2,223,46.9,4,0,1,0.8,42,DEF
Jacob,Ramsey,1,4,65,1510,24,273.5,226.8,225.0,3,261,72.4,4,0,2,0.3,54,MID
Morgan,Rogers,8,9,148,2854,39,631.8,659.8,652.0,15,492,194.4,8,0,9,24.9,57,MID
Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Lino,da Cruz Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Youri,Tielemans,3,7,117,2997,44,944.0,753.0,303.0,12,681,200.0,7,0,4,1.3,55,MID
Ollie,Watkins,15,7,170,2328,38,314.6,703.2,1033.0,29,577,203.1,8,0,2,19.0,89,FWD
Axel,Disasi,1,0,33,851,12,75.6,169.6,51.0,0,133,29.7,3,0,3,0.4,42,DEF
Amadou,Onana,3,0,56,1374,23,142.6,307.2,209.0,5,269,66.1,3,0,4,2.1,48,MID
Marcus,Rashford,6,4,95,1414,15,451.1,398.4,369.0,9,333,122.1,7,0,2,5.3,67,MID
Lamare,Bogarde,0,0,6,473,11,33.3,84.8,15.0,0,22,13.3,0,0,2,0.2,39,DEF
Sil,Swinkels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Oliwier,Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
Kadan,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,MID
Ben,Broggio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jamaldeen,Jimoh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Donyell,Malen,3,0,32,286,5,31.4,134.8,159.0,3,107,32.2,0,0,0,0.3,53,MID
Andrés,García,0,0,8,316,5,68.4,45.6,7.0,0,26,12.0,0,0,0,0.1,45,DEF
Unai,Emery,0,0,86,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.7,8,AM
Marco,Asensio,3,2,38,536,8,174.4,180.4,213.0,6,136,56.9,1,0,1,3.2,62,MID
Max,Aarons,0,0,8,84,0,3.2,13.2,0.0,0,31,1.7,1,0,0,0.1,43,DEF
Tyler,Adams,0,3,49,1614,25,215.9,367.4,79.0,1,256,66.4,5,0,7,0.1,49,MID
Jaidon,Anthony,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
David,Brooks,2,1,46,798,11,253.1,167.4,235.0,2,181,64.9,2,0,3,0.0,49,MID
Ryan,Christie,2,3,76,2114,28,576.8,514.0,303.0,5,435,139.6,8,0,9,0.1,49,MID
Lewis,Cook,1,4,79,2724,39,706.0,581.0,112.0,3,477,140.0,5,0,8,0.2,50,MID
Enes,Ünal,2,1,32,330,3,56.1,104.0,207.0,4,97,35.9,2,0,2,0.1,54,FWD
Romain,Faivre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Hamed,Traorè,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
James,Hill,0,1,17,443,9,38.4,97.0,29.0,0,55,16.6,1,0,1,0.5,39,DEF
Daniel,Jebbison,0,0,11,66,1,37.8,21.0,38.0,0,35,9.7,0,0,1,1.0,45,FWD
Milos,Kerkez,2,6,123,2987,41,553.6,655.8,209.0,10,499,141.8,8,0,4,17.7,53,DEF
Justin,Kluivert,12,6,151,2095,26,635.2,692.6,701.0,14,511,202.8,12,0,8,11.2,60,MID
Chris,Mepham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Dango,Ouattara,7,4,110,1925,22,460.8,607.0,752.0,7,421,181.6,7,0,2,1.4,46,MID
Alex,Paulsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Philip,Billing,0,0,10,176,4,102.4,54.0,47.0,0,52,20.4,0,0,1,0.0,48,MID
Alex,Scott,0,0,24,674,7,138.9,126.4,107.0,0,122,37.3,3,0,2,0.0,47,MID
Antoine,Semenyo,9,6,141,2907,37,645.6,697.4,1111.0,11,509,244.7,10,0,9,7.1,57,MID
Marcos,Senesi,0,0,24,1012,17,81.1,251.4,29.0,3,91,36.3,1,0,5,0.3,46,DEF
Luis,Sinisterra,1,1,23,229,4,115.3,112.0,195.0,2,90,42.3,0,0,0,0.1,48,MID
Adam,Smith,0,0,49,1406,16,130.5,170.4,20.0,0,140,31.8,5,0,6,0.1,44,DEF
Marcus,Tavernier,3,6,75,1572,24,539.6,402.8,395.0,3,287,133.7,3,0,5,0.2,54,MID
Mark,Travers,0,0,19,450,5,0.0,146.4,0.0,1,76,14.6,1,0,0,0.1,44,GK
Illia,Zabarnyi,0,0,79,2752,37,155.0,565.2,60.0,6,365,78.3,7,1,3,0.5,44,DEF
Kepa,Arrizabalaga,0,0,94,2430,34,10.4,672.2,4.0,7,364,68.5,7,0,3,3.1,46,GK
Dean,Huijsen,2,1,91,2140,26,195.2,702.6,160.0,14,399,105.7,7,0,8,4.1,45,DEF
Julián,Araujo Zúñiga,0,0,9,358,7,10.2,41.8,4.0,0,14,5.7,0,0,1,0.1,43,DEF
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,GK
Francisco Evanilson,de Lima Barbosa,9,5,116,1969,26,293.1,420.8,856.0,19,443,156.6,10,1,0,3.7,58,FWD
Max,Kinsey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Ben,Winterburn,0,0,3,21,0,0.2,2.4,2.0,0,11,0.4,0,0,0,0.0,45,MID
Archie,Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Remy,Rees-Dottin,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,45,FWD
Matai,Akinmboni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Julio,Soler,0,0,1,1,0,0.0,2.0,0.0,0,6,0.2,0,0,0,0.0,39,DEF
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Callan,McKenna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Zain,Silcott-Duberry,0,0,1,1,0,1.0,2.0,0.0,0,5,0.3,0,0,0,0.0,45,MID
Andoni,Iraola,0,0,53,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.3,11,AM
Kristoffer,Ajer,0,0,38,1393,21,126.1,195.2,146.0,0,127,46.8,3,0,5,0.2,44,DEF
Ethan,Brierley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Nathan,Collins,2,7,115,3060,50,157.2,936.4,303.0,9,505,139.8,7,0,5,3.4,45,DEF
Mikkel,Damsgaard,2,9,119,2578,36,912.7,666.8,320.0,10,549,189.9,10,0,2,1.2,49,MID
Josh,Dasilva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
Mark,Flekken,0,2,123,2915,48,30.3,1182.6,0.0,10,538,120.9,6,0,1,9.3,44,GK
Rico,Henry,0,0,3,62,1,0.5,5.6,0.0,0,2,0.6,0,0,0,0.0,43,DEF
Aaron,Hickey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
Vitaly,Janelt,1,3,73,2251,38,284.2,356.6,131.0,2,384,77.2,6,0,3,0.2,48,MID
Mathias,Jensen,0,2,34,781,15,225.4,148.0,32.0,1,167,40.8,2,0,2,0.1,53,MID
Kim,Ji-soo,0,0,3,28,0,0.8,5.0,0.0,0,8,0.6,0,0,0,0.3,39,DEF
Yunus Emre,Konak,0,0,9,52,2,4.4,8.0,3.0,0,27,1.2,0,0,0,0.1,44,MID
Keane,Lewis-Potter,1,5,86,2757,44,396.2,500.0,379.0,0,424,127.8,7,0,6,0.1,50,MID
Bryan,Mbeumo,18,7,212,3055,48,1019.1,1098.2,921.0,28,859,304.2,8,0,3,42.0,82,MID
Ben,Mee,0,0,9,180,4,3.0,36.8,6.0,0,30,4.6,1,0,2,0.3,42,DEF
Christian,Nørgaard,5,2,88,2460,38,290.8,641.4,323.0,4,496,125.6,5,1,6,0.2,48,MID
Frank,Onyeka,0,0,2,23,0,0.5,0.0,0.0,0,3,0.0,0,0,0,0.0,49,MID
Myles,Peart-Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ethan,Pinnock,2,0,47,1912,35,101.2,540.2,193.0,0,233,83.6,2,0,2,0.3,44,DEF
Mads,Roerslev Rasmussen,0,2,36,1100,20,185.8,214.4,78.0,0,125,48.0,2,0,2,0.1,43,DEF
Kevin,Schade,8,4,120,1985,29,275.2,493.4,681.0,7,406,144.7,9,0,3,0.7,51,MID
Igor Thiago,Nascimento Rodrigues,0,0,5,129,2,27.9,10.8,6.0,0,20,4.2,0,0,0,0.0,59,FWD
Ivan,Toney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,73,FWD
Hákon,Valdimarsson,0,0,2,144,2,0.1,21.4,0.0,0,14,2.1,0,0,0,3.2,39,GK
Yoane,Wissa,16,5,166,2561,38,342.9,755.8,1001.0,29,661,209.3,8,0,2,16.7,67,FWD
Yehor,Yarmoliuk,0,0,35,1114,20,166.3,204.4,89.0,0,207,45.9,2,0,5,2.2,43,MID
Mathias,Jorgensen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Fábio,Freitas Gouveia Carvalho,2,1,35,443,14,71.5,142.2,154.0,1,127,36.3,0,0,1,0.4,45,MID
Sepp,van den Berg,0,1,53,2224,42,86.1,520.2,189.0,1,217,79.6,4,0,2,1.4,41,DEF
Ryan,Trevitt,0,0,1,3,0,0.1,2.6,0.0,0,5,0.3,0,0,0,0.0,44,MID
Gustavo,Nunes Fernandes Gomes,0,0,2,2,0,0.0,2.0,0.0,0,6,0.2,0,0,0,0.0,49,MID
Jayden,Meghoma,0,0,1,4,0,0.3,0.2,0.0,0,3,0.1,0,0,0,0.0,40,DEF
Tony,Yogane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Paris,Maghoma,0,0,8,112,1,15.8,27.8,10.0,0,32,5.4,0,0,0,0.0,45,MID
Benjamin,Arthur,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Thomas,Frank,0,0,91,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,8.1,8,AM
Michael,Kayode,0,0,13,206,2,27.2,40.8,16.0,0,50,8.5,1,0,1,0.0,45,DEF
Julian,Eyestone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Iwan,Morgan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Benjamin,Fredrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Simon,Adingra,2,2,50,873,20,208.2,186.4,277.0,0,176,67.2,1,0,0,0.3,51,MID
Benicio,Baker-Boaitey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Carlos,Baleba,3,1,78,2312,36,312.7,468.4,183.0,7,433,96.5,7,1,6,0.2,50,MID
Valentín,Barco,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.9,40,DEF
Amario,Cozier-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Mahmoud,Dahoud,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Lewis,Dunk,0,1,42,1991,41,114.3,406.4,128.0,0,211,64.9,4,0,5,2.4,42,DEF
Pervis,Estupiñán,1,1,53,2129,41,499.2,426.2,141.0,6,260,106.7,2,0,5,1.3,49,DEF
Billy,Gilmour,0,0,3,97,1,11.9,11.4,2.0,0,21,2.5,0,0,0,0.0,50,MID
Pascal,Groß,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,MID
Jack,Hinshelwood,2,3,64,1674,29,237.4,283.8,160.0,5,304,68.5,5,0,5,0.1,49,MID
Ibrahim,Osman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Igor Julio,dos Santos de Paulo,0,0,17,900,16,40.5,182.2,4.0,0,103,22.7,1,0,4,0.1,43,DEF
João Pedro,Junqueira de Jesus,10,6,126,1946,28,456.0,567.0,644.0,26,516,166.0,6,1,4,9.6,55,FWD
Kacper,Kozłowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tariq,Lamptey,2,2,40,762,20,95.1,192.0,48.0,1,99,33.6,2,0,0,0.2,44,DEF
Solly,March,0,0,7,161,3,59.6,24.0,18.0,0,25,10.1,0,0,2,0.0,65,MID
Adrian,Mazilu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
James,Milner,0,0,5,169,1,66.3,28.6,12.0,0,24,10.7,1,0,1,0.0,50,MID
Yankuba,Minteh,5,5,86,1489,29,378.0,456.8,500.0,6,346,133.8,3,0,6,1.0,48,MID
Mitoma,Kaoru,9,4,134,2517,40,541.8,607.8,808.0,12,493,196.0,6,0,1,7.0,64,MID
Jakub,Moder,0,0,4,9,0,36.0,15.8,2.0,0,17,5.4,0,0,0,0.4,44,MID
Mark,O’Mahony,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,FWD
Odeluga,Offiah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Cameron,Peupion,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Jeremy,Sarmiento Morante,0,0,1,8,0,0.8,0.2,0.0,0,3,0.1,0,0,0,0.0,49,MID
Jason,Steele,0,0,9,180,1,0.0,40.4,0.0,1,46,4.1,1,0,0,0.7,40,GK
Deniz,Undav,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Jan Paul,van Hecke,1,1,75,2600,43,230.2,658.4,172.0,6,348,106.2,6,1,6,0.7,45,DEF
Joël,Veltman,0,0,58,1642,23,143.8,269.2,59.0,7,247,47.4,6,0,4,1.1,43,DEF
Bart,Verbruggen,0,1,88,2880,54,10.0,753.6,0.0,5,312,76.3,6,0,5,2.7,46,GK
Adam,Webster,0,0,26,615,8,41.2,155.8,31.0,0,121,22.7,3,0,0,0.1,43,DEF
Danny,Welbeck,9,4,110,1846,34,254.7,475.8,593.0,18,413,132.5,6,0,4,6.3,55,FWD
Mats,Wieffer,1,3,40,680,19,176.2,230.4,109.0,4,171,51.2,1,0,4,0.1,47,MID
Brajan,Gruda,0,3,30,497,12,181.2,123.8,116.0,0,104,41.7,1,0,0,0.0,54,MID
Yasin,Ayari,1,1,60,1729,24,462.9,316.6,231.0,1,311,101.0,6,0,4,0.0,50,MID
Andrew,Moran,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Carl,Rushworth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK
