name,team,GW,predicted_clean_sheets
Mateo Kovačić,Man City,31,0.5824339159955962
Joelinton Cássio Apolinário de Lira,Newcastle,31,0.477840042880954
Lucas Digne,Aston Villa,31,0.47689573063810925
Jan Paul van Hecke,Brighton,31,0.47212526367152396
Boubacar Kamara,Aston Villa,31,0.4715379229355047
Will Hughes,Crystal Palace,31,0.46967032237196127
Marc Guéhi,Crystal Palace,31,0.4690590577251656
Daniel Muñoz,Crystal Palace,31,0.46747171248877917
Jean-Philippe Mateta,Crystal Palace,31,0.46584964871495205
Tyrone Mings,Aston Villa,31,0.4641399098905824
Mitoma Kaoru,Brighton,31,0.46294919452457167
Emiliano Martínez Romero,Aston Villa,31,0.4617186276251011
Lewis Hall,Newcastle,31,0.4605543132068407
João Pedro Junqueira de Jesus,Brighton,31,0.45826832051882443
Matt O'Riley,Brighton,31,0.4567118366324468
Chris Richards,Crystal Palace,31,0.45612651840073304
Dan Burn,Newcastle,31,0.45486413902158457
Joël Veltman,Brighton,31,0.45306486495609655
Yasin Ayari,Brighton,31,0.45286239896459435
Carlos Baleba,Brighton,31,0.4523063064568665
Pervis Estupiñán,Brighton,31,0.4503570764382934
Martin Dúbravka,Newcastle,31,0.4501217309660665
Sandro Tonali,Newcastle,31,0.4484752097043186
Youri Tielemans,Aston Villa,31,0.44562955158523493
Sven Botman,Newcastle,31,0.44551474238799943
Dean Henderson,Crystal Palace,31,0.44505602086173024
Ismaïla Sarr,Crystal Palace,31,0.44425872885663986
Amadou Onana,Aston Villa,31,0.44360406616909814
Tyrick Mitchell,Crystal Palace,31,0.4397568947979918
Ezri Konsa Ngoyo,Aston Villa,31,0.4394137849811053
Eberechi Eze,Crystal Palace,31,0.4389498935953698
Jacob Murphy,Newcastle,31,0.43891620767700085
Maxence Lacroix,Crystal Palace,31,0.43835778426576893
Morgan Rogers,Aston Villa,31,0.4374809861529042
Matty Cash,Aston Villa,31,0.43569117166832
Bart Verbruggen,Brighton,31,0.43547896381729895
Tino Livramento,Newcastle,31,0.43411772472831933
Adam Webster,Brighton,31,0.4327760239411912
Jacob Ramsey,Aston Villa,31,0.4309863055774986
Simon Adingra,Brighton,31,0.4287203065398849
Cheick Doucouré,Crystal Palace,31,0.4269842389182077
Anthony Gordon,Newcastle,31,0.4254294900138965
Bruno Guimarães Rodriguez Moura,Newcastle,31,0.4253742188534971
Ollie Watkins,Aston Villa,31,0.4229345570768651
Alexander Isak,Newcastle,31,0.42239195718257977
Julio Soler,Bournemouth,31,0.3799606711312277
Kai Havertz,Arsenal,31,0.3796036715314584
Jack Grealish,Man City,31,0.37755068582065743
Matheus Luiz Nunes,Man City,31,0.3768202138131729
Ben Doak,Liverpool,31,0.376723420938299
Illia Zabarnyi,Bournemouth,31,0.37670457832872095
Nathan Butler-Oyedeji,Arsenal,31,0.37664155293811896
Rúben Gato Alves Dias,Man City,31,0.37603889183330863
Dango Ouattara,Bournemouth,31,0.3759722819866912
Harvey Elliott,Liverpool,31,0.3751935602682228
Nico O'Reilly,Man City,31,0.3747734217655147
Andrew Robertson,Liverpool,31,0.3745035702965726
Stefan Bajčetić Maquieira,Liverpool,31,0.3743025460151921
Oscar Bobb,Man City,31,0.3726970064253033
John Stones,Man City,31,0.3723044262663838
Will Dennis,Bournemouth,31,0.3721820544377814
Endo Wataru,Liverpool,31,0.37196426895111995
Archie Harris,Bournemouth,31,0.3715949909099895
Tyler Morton,Liverpool,31,0.3715930441650999
Tyler Adams,Bournemouth,31,0.37099043931476877
Trent Alexander-Arnold,Liverpool,31,0.37065120573516974
Kieran Tierney,Arsenal,31,0.37058039660019043
Federico Chiesa,Liverpool,31,0.3701610366995876
Kevin De Bruyne,Man City,31,0.36992699448285493
James Hill,Bournemouth,31,0.3690843006156964
Joško Gvardiol,Man City,31,0.36858283422592797
Romain Faivre,Bournemouth,31,0.3676571553008265
Phil Foden,Man City,31,0.36763594774453007
Jaidon Anthony,Bournemouth,31,0.367302627058611
Max Aarons,Bournemouth,31,0.36660980399479487
Mark Travers,Bournemouth,31,0.36462083552504543
Reiss Nelson,Arsenal,31,0.3635437100903367
Mohamed Salah,Liverpool,31,0.3632767661950049
Sepp van den Berg,Liverpool,31,0.36319040092080973
Martin Ødegaard,Arsenal,31,0.36232691813773094
Luis Sinisterra,Bournemouth,31,0.3617403629400407
Alex Scott,Bournemouth,31,0.36161812310251407
Alisson Ramses Becker,Liverpool,31,0.361401844460629
Divin Mubama,Man City,31,0.3612437518138166
Riccardo Calafiori,Arsenal,31,0.3610766553870237
Curtis Jones,Liverpool,31,0.36062319106178065
Enes Ünal,Bournemouth,31,0.3604783227871574
Aaron Ramsdale,Arsenal,31,0.3604754720937013
Marcos Senesi,Bournemouth,31,0.35968794416394806
Ryan Gravenberch,Liverpool,31,0.35897191598005607
Dominic Sadi,Bournemouth,31,0.3589485748568037
Alex Paulsen,Bournemouth,31,0.3569764327508881
Thomas Partey,Arsenal,31,0.3566409780263526
Spike Brits,Man City,31,0.35649354498177005
Daniel Jebbison,Bournemouth,31,0.35565204153940666
Cody Gakpo,Liverpool,31,0.3552802621636738
Josh Nichols,Arsenal,31,0.35424470580356654
Kepa Arrizabalaga,Bournemouth,31,0.353808652052807
Remy Rees-Dottin,Bournemouth,31,0.35254949834835975
Ilkay Gündogan,Man City,31,0.3525159253040123
Marcus Tavernier,Bournemouth,31,0.35241615421536937
Nathaniel Phillips,Liverpool,31,0.3524048192650133
William Saliba,Arsenal,31,0.3522470577128691
Fábio Ferreira Vieira,Arsenal,31,0.3518281058742686
Ryan Christie,Bournemouth,31,0.35181239684078447
Jérémy Doku,Man City,31,0.35148707578593724
Declan Rice,Arsenal,31,0.351287744242537
Erling Haaland,Man City,31,0.3509541957760148
David Raya Martin,Arsenal,31,0.3508701186409854
Virgil van Dijk,Liverpool,31,0.35070818841862267
Stefan Ortega Moreno,Man City,31,0.35005409883307137
Maldini Kacurri,Arsenal,31,0.3499776736656286
Konstantinos Tsimikas,Liverpool,31,0.3498451998486925
Norberto Murara Neto,Bournemouth,31,0.3496688757537188
Adam Smith,Bournemouth,31,0.34858899390860676
Jurriën Timber,Arsenal,31,0.34815709530308514
Josh Wilson-Esbrand,Man City,31,0.3476182633449068
Raheem Sterling,Arsenal,31,0.3472018954521996
Tommy Setford,Arsenal,31,0.3467005433877051
Bukayo Saka,Arsenal,31,0.3461734895498768
Max Kinsey,Bournemouth,31,0.3461307576561945
Gabriel dos Santos Magalhães,Arsenal,31,0.34556575195785766
Lewis Cook,Bournemouth,31,0.34548459205797255
Matai Akinmboni,Bournemouth,31,0.3451430490193566
Harvey Davies,Liverpool,31,0.3450063657826614
Bernardo Veiga de Carvalho e Silva,Man City,31,0.34499187781965784
Conor Bradley,Liverpool,31,0.34486120723533437
Amara Nallo,Liverpool,31,0.3444162312200299
James McAtee,Man City,31,0.3442648316310235
Francisco Evanilson de Lima Barbosa,Bournemouth,31,0.3431093229948119
Ismeal Kabia,Arsenal,31,0.342980483788716
Benjamin White,Arsenal,31,0.34293057394288184
Philip Billing,Bournemouth,31,0.3420929976135529
Tomiyasu Takehiro,Arsenal,31,0.34187099212223837
Kyle Walker,Man City,31,0.34137074788520144
Hamed Traorè,Bournemouth,31,0.3412528872761854
Ayden Heaven,Arsenal,31,0.34119416498017174
James McConnell,Liverpool,31,0.34083392645368277
Issa Kaboré,Man City,31,0.34060846728486677
Treymaurice Nyoni,Liverpool,31,0.3401862363687793
Dominik Szoboszlai,Liverpool,31,0.3400944738666538
David Brooks,Bournemouth,31,0.3391667352599198
Milos Kerkez,Bournemouth,31,0.33850375258275806
Darwin Núñez Ribeiro,Liverpool,31,0.33823656777767913
Joe Gomez,Liverpool,31,0.3380560342426917
Jayden Danns,Liverpool,31,0.3380418972895647
Jacob Wright,Man City,31,0.33763809003681544
Scott Carson,Man City,31,0.33659181604741856
Gabriel Fernando de Jesus,Arsenal,31,0.3363643909596878
Rico Lewis,Man City,31,0.3363541419720617
Jahmai Simpson-Pusey,Man City,31,0.3358314497029233
Sávio 'Savinho' Moreira de Oliveira,Man City,31,0.3331742914536098
Gabriel Martinelli Silva,Arsenal,31,0.3330683839686547
Salah-Eddine Oulad M'hand,Arsenal,31,0.3329452058414843
Dean Huijsen,Bournemouth,31,0.33282156222703235
Nathan Aké,Man City,31,0.3320092335144951
Julián Álvarez,Man City,31,0.33147532656768763
Diogo Teixeira da Silva,Liverpool,31,0.33114987617336894
Bobby Clark,Liverpool,31,0.33077755389241775
Ethan Nwaneri,Arsenal,31,0.3304685955231736
Jorge Luiz Frello Filho,Arsenal,31,0.3297817459575813
Chris Mepham,Bournemouth,31,0.3295398639817831
Ederson Santana de Moraes,Man City,31,0.3290792824279387
Leandro Trossard,Arsenal,31,0.3290611513562669
Karl Hein,Arsenal,31,0.3289490012706338
Alexis Mac Allister,Liverpool,31,0.3289317503540284
Caoimhin Kelleher,Liverpool,31,0.3286795877557406
Julián Araujo Zúñiga,Bournemouth,31,0.3276692508794481
Rodrigo 'Rodri' Hernandez,Man City,31,0.32751419727587794
Ibrahima Konaté,Liverpool,31,0.3268489528701947
Norberto Murara Neto,Arsenal,31,0.32684437791641785
Rhys Williams,Liverpool,31,0.32609228415128366
Mateus Gonçalo Espanha Fernandes,Southampton,31,0.3254207997220328
Mikel Merino,Arsenal,31,0.3253349996006105
Luis Díaz,Liverpool,31,0.32498371230491174
Vítezslav Jaros,Liverpool,31,0.32456855093061576
João Cavaco Cancelo,Man City,31,0.3242003748153798
Jarell Quansah,Liverpool,31,0.3237254501951314
Eddie Nketiah,Arsenal,31,0.32370964270579095
Manuel Akanji,Man City,31,0.3235515405951427
Daniel Adu-Adjei,Bournemouth,31,0.3230514092152075
Myles Lewis-Skelly,Arsenal,31,0.32299829291459325
Oleksandr Zinchenko,Arsenal,31,0.32200641996675305
Max Alleyne,Man City,31,0.3213211261089568
Ben Winterburn,Bournemouth,31,0.3211434425849032
Jakub Kiwior,Arsenal,31,0.32114028757491725
Justin Kluivert,Bournemouth,31,0.3205579930468435
Antoine Semenyo,Bournemouth,31,0.3202991681789874
Tyler Dibling,Southampton,31,0.3094192717264107
Joe Aribo,Southampton,31,0.288360054328469
Callum Hudson-Odoi,Nott'm Forest,31,0.22992838267180943
Jean-Clair Todibo,West Ham,31,0.2297125981492581
Matz Sels,Nott'm Forest,31,0.22952349769060915
Evan Ferguson,Brighton,31,0.2294473845417887
Viljami Sinisalo,Aston Villa,31,0.229337208827824
Kobbie Mainoo,Man Utd,31,0.2291155714950661
Francisco Jorge Tomás Oliveira,Wolves,31,0.22908279117689367
Lucas Bergström,Chelsea,31,0.22879395365965077
Matt Turner,Nott'm Forest,31,0.22859609365483718
Remi Matthews,Crystal Palace,31,0.2285621116730681
Amad Diallo,Man Utd,31,0.22828891591451955
Renato Palma Veiga,Chelsea,31,0.2281820986409588
Frank Onyeka,Brentford,31,0.22802789246871474
Enso González,Wolves,31,0.22789916935432197
Carlos Roberto Forbs Borges,Wolves,31,0.227866337695035
Benoît Badiashile,Chelsea,31,0.22785980579373855
Tom Cairney,Fulham,31,0.22761490969430848
Wesley Fofana,Chelsea,31,0.22760961540478863
Niclas Füllkrug,West Ham,31,0.22760157257675803
Neco Williams,Nott'm Forest,31,0.22749694769793338
Luis Guilherme Lira dos Santos,West Ham,31,0.2274124820640142
Reece James,Chelsea,31,0.22732882251252032
Ryan Trevitt,Brentford,31,0.2273026808854418
Tyrique George,Chelsea,31,0.22722014761138198
Ferdi Kadioglu,Brighton,31,0.22707460558613696
Leander Dendoncker,Aston Villa,31,0.22703172189713997
Carlos Soler,West Ham,31,0.22687170387550074
Matthijs de Ligt,Man Utd,31,0.22686930552124637
Andrew Moran,Brighton,31,0.22679682814198754
Christian Nørgaard,Brentford,31,0.22673924644325014
Matheus França de Oliveira,Crystal Palace,31,0.2266525682310875
Yerson Mosquera,Wolves,31,0.22638538967326421
Rayan Aït-Nouri,Wolves,31,0.2262881251170768
Zach Abbott,Nott'm Forest,31,0.226161487055083
Pablo Sarabia,Wolves,31,0.22611381304997835
Myles Peart-Harris,Brentford,31,0.22610831790948166
André Trindade da Costa Neto,Wolves,31,0.22588332161834468
Samuel Rak-Sakyi,Chelsea,31,0.22578360940569847
Nikola Milenković,Nott'm Forest,31,0.2256903702294732
Jayden Meghoma,Brentford,31,0.22557505043758636
Manuel Ugarte,Man Utd,31,0.22542898574622985
Andreas Hoelgebaum Pereira,Fulham,31,0.22526400775717165
Jaden Philogene,Aston Villa,31,0.22519579111727256
Keane Lewis-Potter,Brentford,31,0.2247680865899661
Adam Wharton,Crystal Palace,31,0.22466982813182385
Joe Gauci,Aston Villa,31,0.22433787910948236
Malcolm Ebiowei,Crystal Palace,31,0.2241646449363433
Jack Fletcher,Man Utd,31,0.22413577956112868
Kieran Trippier,Newcastle,31,0.22396753710327316
Pedro Lomba Neto,Chelsea,31,0.2238890140842772
Micky van de Ven,Spurs,31,0.22387620477965006
Godwill Kukonki,Man Utd,31,0.22371388983307655
Wayne Hennessey,Nott'm Forest,31,0.22328139920565057
Martial Godo,Fulham,31,0.22310453486422901
Ian Maatsen,Aston Villa,31,0.2229197168622986
Rodrigo Martins Gomes,Wolves,31,0.2221658090489736
Pape Matar Sarr,Spurs,31,0.2221014316042208
Lewis Dunk,Brighton,31,0.22081325121834752
Marcus Rashford,Man Utd,31,0.22056136354260494
Marc Guiu Paz,Chelsea,31,0.2205309519690369
Calvin Bassey,Fulham,31,0.22038985298755073
José Malheiro de Sá,Wolves,31,0.22037024427822843
Andy Irving,West Ham,31,0.22018687638360995
Jack Hinshelwood,Brighton,31,0.22017842469633514
Joel Ward,Crystal Palace,31,0.22015386452285707
Fábio Silva,Wolves,31,0.22012642589247125
Destiny Udogie,Spurs,31,0.22008434024335105
Filip Marschall,Aston Villa,31,0.22002149279176586
Leon Bailey,Aston Villa,31,0.22001669188239778
Malang Sarr,Chelsea,31,0.21993204282343357
Pierre-Emile Højbjerg,Spurs,31,0.21985253967213209
Romelu Lukaku Bolingoli,Chelsea,31,0.21975207051971518
Mathias Jorgensen,Brentford,31,0.21967599919919695
Lucas Tolentino Coelho de Lima,West Ham,31,0.2195745988433906
Joachim Andersen,Crystal Palace,31,0.2194103881951739
Amario Cozier-Duberry,Brighton,31,0.2193424958918215
Raheem Sterling,Chelsea,31,0.21898113982995077
Samuel Iling-Junior,Aston Villa,31,0.21871650493715653
Ivan Toney,Brentford,31,0.218622904988594
Djed Spence,Spurs,31,0.21857905489501714
Crysencio Summerville,West Ham,31,0.21849511204647454
Nayef Aguerd,West Ham,31,0.21849436909132586
Malo Gusto,Chelsea,31,0.21841134664380032
Pedro Porro,Spurs,31,0.2183644861088798
Kim Ji-soo,Brentford,31,0.21830326882605716
Yehor Yarmoliuk,Brentford,31,0.21812517489616687
Sam Johnstone,Crystal Palace,31,0.2179296661751261
Dane Scarlett,Spurs,31,0.21787041654031664
Deniz Undav,Brighton,31,0.2178122805538437
Eric da Silva Moreira,Nott'm Forest,31,0.21774516897307067
Tomáš Souček,West Ham,31,0.2175987392612149
Nathaniel Clyne,Crystal Palace,31,0.21740329965164956
Łukasz Fabiański,West Ham,31,0.21734797922604102
Jamaal Lascelles,Newcastle,31,0.21701069682339086
Bernd Leno,Fulham,31,0.21671737483745954
Đorđe Petrović,Chelsea,31,0.2166899218990204
Mason Mount,Man Utd,31,0.2166683479593278
Kevin Mbabu,Fulham,31,0.21649878736622394
Alfie Gilchrist,Chelsea,31,0.2162959490814596
Lucas Bergvall,Spurs,31,0.2161721587960993
Sander Berge,Fulham,31,0.2161007132996099
Luke Shaw,Man Utd,31,0.21603127129144123
Christian Eriksen,Man Utd,31,0.21588116957071046
Ethan Pinnock,Brentford,31,0.21582068050157477
Igor Julio dos Santos de Paulo,Brighton,31,0.21568561481011062
Kiernan Dewsbury-Hall,Chelsea,31,0.21552610173829467
George Earthy,West Ham,31,0.21547141743765383
Jørgen Strand Larsen,Wolves,31,0.21480120667363908
Ross Barkley,Aston Villa,31,0.21472282867755021
Andrew Omobamidele,Nott'm Forest,31,0.21466233087554198
Filip Jørgensen,Chelsea,31,0.21445706472824272
Marcus Bettinelli,Chelsea,31,0.21436765685183923
João Victor Gomes da Silva,Wolves,31,0.2143556803182513
William Osula,Newcastle,31,0.21429064224158023
Kenny Tete,Fulham,31,0.214286718138114
Valentín Barco,Brighton,31,0.2139719336884459
Levi Colwill,Chelsea,31,0.21381307348615627
Matt Targett,Newcastle,31,0.2136595165384892
Wes Okoduwa,Wolves,31,0.2134094778135907
Leny Yoro,Man Utd,31,0.21308583475860468
Fabian Schär,Newcastle,31,0.21282474090904827
Maxwel Cornet,West Ham,31,0.21275007328378565
Daniel Bentley,Wolves,31,0.21251673872493207
Anthony Elanga,Nott'm Forest,31,0.21236470800348609
Kadan Young,Aston Villa,31,0.21214711171550749
James Ward-Prowse,Nott'm Forest,31,0.21204593027994356
Ben Davies,Spurs,31,0.21188689838242292
Moisés Caicedo Corozo,Chelsea,31,0.21125317190075416
Jayce Fitzgerald,Man Utd,31,0.21121691362480002
Ezra Mayers,West Ham,31,0.21105315211558362
Elliot Anderson,Nott'm Forest,31,0.21091543219508882
Morgan Gibbs-White,Nott'm Forest,31,0.21083875769090074
Nathan Collins,Brentford,31,0.21079192176554473
Kortney Hause,Aston Villa,31,0.21075990788647414
Alfie Dorrington,Spurs,31,0.2105026195676876
Roméo Lavia,Chelsea,31,0.2104106647070214
Odsonne Edouard,Crystal Palace,31,0.21029952203884247
Billy Gilmour,Brighton,31,0.2102149789318884
Wes Foderingham,West Ham,31,0.2099644150040774
Cristian Romero,Spurs,31,0.20939918343030103
Jeremy Sarmiento Morante,Brighton,31,0.20927814474816445
Bryan Gil Salvatierra,Spurs,31,0.209219872452263
Tom Edozie,Wolves,31,0.20921534794148927
Joachim Andersen,Fulham,31,0.2091230805441161
Son Heung-min,Spurs,31,0.20911705512815254
Alejo Véliz,Spurs,31,0.20901651760311768
Tyrell Malacia,Man Utd,31,0.20892195517380283
Harvey Barnes,Newcastle,31,0.20883971804787166
Alfie Pond,Wolves,31,0.2083659084124519
Kacper Kozłowski,Brighton,31,0.20829519952292438
Santiago Bueno,Wolves,31,0.20826123087078777
Igor Thiago Nascimento Rodrigues,Brentford,31,0.2082047300396638
Kaine Kesler-Hayden,Aston Villa,31,0.2081738944070849
Emil Krafth,Newcastle,31,0.20799688098818458
Chris Wood,Nott'm Forest,31,0.20798583679976423
João Pedro Ferreira Silva,Nott'm Forest,31,0.20798372044011057
Jesurun Rak-Sakyi,Crystal Palace,31,0.20793292412404227
Jean-Ricner Bellegarde,Wolves,31,0.20786649110829333
Jamal Lewis,Newcastle,31,0.2078447812400419
Franco Umeh-Chibueze,Crystal Palace,31,0.20779635290735549
Harry Amass,Man Utd,31,0.20775602221619316
Josh Dasilva,Brentford,31,0.20752154041170673
Jhon Durán,Aston Villa,31,0.20744816440885014
Boubacar Traoré,Wolves,31,0.20744530523162674
Andrey Nascimento dos Santos,Chelsea,31,0.20733647503416278
Guglielmo Vicario,Spurs,31,0.2068946060464002
Sergio Reguilón,Spurs,31,0.20685822829489142
Caleb Kporha,Crystal Palace,31,0.20685398387768683
