id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,rank_count,entry_percentile_rank,active_phases,entry_rank,entry_last_rank
18,Spurs,team-18,2024-07-17T11:51:46.374836Z,False,,,s,c,,1,False,False,False,True,2473939.0,True,421167,5,"[{'phase': 1, 'rank': 9301, 'last_rank': 9301, 'rank_sort': 9301, 'total': 2169, 'league_id': 18, 'rank_count': 421167, 'entry_percentile_rank': 5}, {'phase': 10, 'rank': 66552, 'last_rank': 66552, 'rank_sort': 66552, 'total': 234, 'league_id': 18, 'rank_count': 421167, 'entry_percentile_rank': 20}]",9301,9301
124,Ireland,region-104,2024-07-17T11:51:47.183710Z,False,,,s,c,,1,False,False,False,True,2473931.0,True,315789,5,"[{'phase': 1, 'rank': 9763, 'last_rank': 9763, 'rank_sort': 9764, 'total': 2169, 'league_id': 124, 'rank_count': 315789, 'entry_percentile_rank': 5}, {'phase': 10, 'rank': 55470, 'last_rank': 55470, 'rank_sort': 55472, 'total': 234, 'league_id': 124, 'rank_count': 315789, 'entry_percentile_rank': 20}]",9763,9763
276,Gameweek 1,event-1,2024-07-17T11:51:48.316462Z,False,,,s,c,,1,False,False,False,False,,,8571544,5,"[{'phase': 1, 'rank': 284821, 'last_rank': 284821, 'rank_sort': 284828, 'total': 2169, 'league_id': 276, 'rank_count': 8571544, 'entry_percentile_rank': 5}, {'phase': 10, 'rank': 1659709, 'last_rank': 1659709, 'rank_sort': 1659732, 'total': 234, 'league_id': 276, 'rank_count': 8571544, 'entry_percentile_rank': 20}]",284821,284821
314,Overall,overall,2024-07-17T11:51:48.594925Z,False,,,s,c,,1,False,False,False,True,2421396.0,True,11393464,5,"[{'phase': 1, 'rank': 285324, 'last_rank': 285324, 'rank_sort': 285331, 'total': 2169, 'league_id': 314, 'rank_count': 11393464, 'entry_percentile_rank': 5}, {'phase': 10, 'rank': 1761680, 'last_rank': 1761680, 'rank_sort': 1761703, 'total': 234, 'league_id': 314, 'rank_count': 11393461, 'entry_percentile_rank': 20}]",285324,285324
321,Second Chance,sc,2024-07-17T11:51:48.646333Z,False,,,s,c,,21,False,False,False,False,,,11393463,10,"[{'phase': 1, 'rank': 800175, 'last_rank': 800175, 'rank_sort': 800196, 'total': 894, 'league_id': 321, 'rank_count': 11393463, 'entry_percentile_rank': 10}, {'phase': 10, 'rank': 1761680, 'last_rank': 1761680, 'rank_sort': 1761703, 'total': 234, 'league_id': 321, 'rank_count': 11393461, 'entry_percentile_rank': 20}]",800175,800175
1194,youtube.com/letstalkfpl 📽️,,2024-07-17T13:32:58.932145Z,False,,,x,c,24.0,1,False,False,False,True,2498395.0,True,127119,20,"[{'phase': 1, 'rank': 24727, 'last_rank': 24727, 'rank_sort': 24729, 'total': 2169, 'league_id': 1194, 'rank_count': 127119, 'entry_percentile_rank': 20}, {'phase': 10, 'rank': 67926, 'last_rank': 67926, 'rank_sort': 67930, 'total': 234, 'league_id': 1194, 'rank_count': 127119, 'entry_percentile_rank': 55}]",24727,24727
12077,GIANNI BUTTICÈ YOUTUBE,,2024-07-17T13:47:41.850235Z,False,,,x,c,7685.0,1,False,False,False,True,2530689.0,True,7694,25,"[{'phase': 1, 'rank': 1918, 'last_rank': 1918, 'rank_sort': 1918, 'total': 2169, 'league_id': 12077, 'rank_count': 7694, 'entry_percentile_rank': 25}, {'phase': 10, 'rank': 4940, 'last_rank': 4940, 'rank_sort': 4940, 'total': 234, 'league_id': 12077, 'rank_count': 7694, 'entry_percentile_rank': 65}]",1918,1918
12098,Gianni OLD league Join: m7ueo5,,2024-07-17T13:47:43.741184Z,False,,,x,c,7685.0,1,False,False,False,True,2547445.0,True,468,25,"[{'phase': 1, 'rank': 109, 'last_rank': 109, 'rank_sort': 110, 'total': 2169, 'league_id': 12098, 'rank_count': 468, 'entry_percentile_rank': 25}, {'phase': 10, 'rank': 275, 'last_rank': 275, 'rank_sort': 275, 'total': 234, 'league_id': 12098, 'rank_count': 468, 'entry_percentile_rank': 60}]",109,109
19258,FPL BlackBox,,2024-07-17T13:57:45.667591Z,False,,,x,c,45957.0,1,False,False,False,True,2525735.0,True,15287,35,"[{'phase': 1, 'rank': 4879, 'last_rank': 4879, 'rank_sort': 4880, 'total': 2169, 'league_id': 19258, 'rank_count': 15287, 'entry_percentile_rank': 35}, {'phase': 10, 'rank': 11278, 'last_rank': 11278, 'rank_sort': 11281, 'total': 234, 'league_id': 19258, 'rank_count': 15287, 'entry_percentile_rank': 75}]",4879,4879
24650,SimplyFPL,,2024-07-17T14:06:19.409646Z,False,,,x,c,94073.0,1,False,False,False,True,2525742.0,True,10669,20,"[{'phase': 1, 'rank': 1879, 'last_rank': 1879, 'rank_sort': 1879, 'total': 2169, 'league_id': 24650, 'rank_count': 10669, 'entry_percentile_rank': 20}, {'phase': 10, 'rank': 5607, 'last_rank': 5607, 'rank_sort': 5607, 'total': 234, 'league_id': 24650, 'rank_count': 10669, 'entry_percentile_rank': 55}]",1879,1879
29415,FPL IRELAND #FPLIRE 🇮🇪,,2024-07-17T14:15:02.492429Z,False,,,x,c,50248.0,1,False,False,False,True,2581509.0,True,40,50,"[{'phase': 1, 'rank': 19, 'last_rank': 19, 'rank_sort': 19, 'total': 2169, 'league_id': 29415, 'rank_count': 40, 'entry_percentile_rank': 50}, {'phase': 10, 'rank': 27, 'last_rank': 27, 'rank_sort': 27, 'total': 234, 'league_id': 29415, 'rank_count': 40, 'entry_percentile_rank': 70}]",19,19
63048,YouTube.com/FPLFocal,,2024-07-17T15:55:12.068915Z,False,,,x,c,1301.0,1,False,False,False,True,2505440.0,True,55028,20,"[{'phase': 1, 'rank': 10376, 'last_rank': 10376, 'rank_sort': 10377, 'total': 2169, 'league_id': 63048, 'rank_count': 55028, 'entry_percentile_rank': 20}, {'phase': 10, 'rank': 28667, 'last_rank': 28667, 'rank_sort': 28671, 'total': 234, 'league_id': 63048, 'rank_count': 55028, 'entry_percentile_rank': 55}]",10376,10376
166969,youtube.com/@FPLChai,,2024-07-18T11:27:51.655404Z,False,,,x,c,18033.0,1,False,True,True,True,2539084.0,True,1434,30,"[{'phase': 1, 'rank': 374, 'last_rank': 374, 'rank_sort': 374, 'total': 2169, 'league_id': 166969, 'rank_count': 1434, 'entry_percentile_rank': 30}, {'phase': 10, 'rank': 922, 'last_rank': 922, 'rank_sort': 923, 'total': 234, 'league_id': 166969, 'rank_count': 1434, 'entry_percentile_rank': 65}]",374,374
340710,Chai Waterford  24/25,,2024-07-22T11:40:05.675708Z,False,,,x,c,18033.0,1,False,True,True,True,2660724.0,True,19,15,"[{'phase': 1, 'rank': 2, 'last_rank': 2, 'rank_sort': 2, 'total': 2169, 'league_id': 340710, 'rank_count': 19, 'entry_percentile_rank': 15}, {'phase': 10, 'rank': 8, 'last_rank': 8, 'rank_sort': 8, 'total': 234, 'league_id': 340710, 'rank_count': 19, 'entry_percentile_rank': 45}]",2,2
514273,Ville Rönkä Valedictorian,,2024-07-29T14:48:45.458200Z,False,,,x,c,280704.0,1,False,False,False,True,2652503.0,True,23,45,"[{'phase': 1, 'rank': 10, 'last_rank': 10, 'rank_sort': 10, 'total': 2169, 'league_id': 514273, 'rank_count': 23, 'entry_percentile_rank': 45}, {'phase': 10, 'rank': 23, 'last_rank': 23, 'rank_sort': 23, 'total': 234, 'league_id': 514273, 'rank_count': 23, 'entry_percentile_rank': 100}]",10,10
534072,Only Fools and Hotspur,,2024-07-30T12:55:06.768565Z,False,,,x,c,2724999.0,1,False,False,False,True,2534957.0,True,4019,15,"[{'phase': 1, 'rank': 437, 'last_rank': 437, 'rank_sort': 437, 'total': 2169, 'league_id': 534072, 'rank_count': 4019, 'entry_percentile_rank': 15}, {'phase': 10, 'rank': 1490, 'last_rank': 1490, 'rank_sort': 1490, 'total': 234, 'league_id': 534072, 'rank_count': 4019, 'entry_percentile_rank': 40}]",437,437
645970,HKFPL World Invitational Event,,2024-08-03T23:15:02.248401Z,True,,,x,c,930.0,16,False,False,False,True,2597886.0,True,39,50,"[{'phase': 1, 'rank': 18, 'last_rank': 18, 'rank_sort': 18, 'total': 1260, 'league_id': 645970, 'rank_count': 39, 'entry_percentile_rank': 50}, {'phase': 10, 'rank': 29, 'last_rank': 29, 'rank_sort': 29, 'total': 234, 'league_id': 645970, 'rank_count': 39, 'entry_percentile_rank': 75}]",18,18
671125,Infosys BPM,,2024-08-04T20:09:22.338898Z,False,,,x,c,3307042.0,1,False,False,False,True,2566101.0,True,68,5,"[{'phase': 1, 'rank': 3, 'last_rank': 3, 'rank_sort': 3, 'total': 2169, 'league_id': 671125, 'rank_count': 68, 'entry_percentile_rank': 5}, {'phase': 10, 'rank': 16, 'last_rank': 16, 'rank_sort': 16, 'total': 234, 'league_id': 671125, 'rank_count': 68, 'entry_percentile_rank': 25}]",3,3
1223079,4 DA GANG,,2024-08-13T18:47:41.672692Z,False,,,x,c,18033.0,1,False,True,True,True,,,2,50,"[{'phase': 1, 'rank': 1, 'last_rank': 1, 'rank_sort': 1, 'total': 2169, 'league_id': 1223079, 'rank_count': 2, 'entry_percentile_rank': 50}, {'phase': 10, 'rank': 2, 'last_rank': 2, 'rank_sort': 2, 'total': 234, 'league_id': 1223079, 'rank_count': 2, 'entry_percentile_rank': 100}]",1,1
1768929,THE PRIME FPL CHAMPIONSHIP,,2024-08-16T12:46:28.310161Z,False,,,x,c,141594.0,1,False,False,False,True,2484684.0,True,144488,10,"[{'phase': 1, 'rank': 12893, 'last_rank': 12893, 'rank_sort': 12893, 'total': 2169, 'league_id': 1768929, 'rank_count': 144488, 'entry_percentile_rank': 10}, {'phase': 10, 'rank': 42890, 'last_rank': 42890, 'rank_sort': 42892, 'total': 234, 'league_id': 1768929, 'rank_count': 144488, 'entry_percentile_rank': 30}]",12893,12893
1857042,SPEED GANG,,2024-08-16T16:05:34.767497Z,False,,,x,c,1681.0,1,False,False,False,True,2535205.0,True,2572,10,"[{'phase': 1, 'rank': 143, 'last_rank': 143, 'rank_sort': 143, 'total': 2169, 'league_id': 1857042, 'rank_count': 2572, 'entry_percentile_rank': 10}, {'phase': 10, 'rank': 514, 'last_rank': 514, 'rank_sort': 515, 'total': 234, 'league_id': 1857042, 'rank_count': 2572, 'entry_percentile_rank': 20}]",143,143
